512  3  0
   1       1   110   213
   2     110     1   214
   3     214   215   110
   4     215   214    55
   5     110   215   170
   6      54   213   170
   7      54    90   169
   8      90    54   170
   9      30    90   170
  10     167   169    90
  11     213   110   170
  12     170   215    30
  13     111    30   215
  14     111    55   216
  15     216   217   111
  16     217   216    16
  17     111   217   171
  18     168    30    91
  19      30   168    90
  20      91   171   172
  21     171    91    30
  22      56   172   171
  23     168    91   152
  24      30   111   171
  25     152    91   172
  26     152   172    10
  27     111   215    55
  28     167    90   168
  29     166    15    89
  30     167    89    15
  31     151   160    89
  32      15   169   167
  33     166    89   160
  34     159    44    86
  35     149    86    26
  36     160    86    44
  37     160    26    86
  38     159    86   158
  39      44   166   160
  40     158    86   149
  41      89   167    45
  42      45   152    83
  43      45   167   168
  44      83   150   146
  45      10   150    83
  46      10    83   152
  47      45    83   151
  48     151    26   160
  49      26   151   146
  50     146    42    82
  51     146   151    83
  52      82    42   147
  53     146    82    26
  54     150    42   146
  55      26    82   149
  56     150   153    42
  57      45   151    89
  58     168   152    45
  59      43   149    82
  60      56   171   217
  61     112    56   217
  62     112    16   218
  63     112   218   219
  64     219   218    57
  65      96    10   172
  66      96    56   183
  67     182   183    31
  68     183    56   112
  69     219    31   183
  70     183   182    96
  71     112   219   183
  72     154    96   182
  73     219    57   113
  74      96   172    56
  75     113   220   221
  76     113    31   219
  77       7   221   220
  78     221     7   223
  79     113   221   184
  80      31    97   182
  81      97    31   184
  82      58   185    97
  83     222    58   184
  84     185    58   115
  85      58    97   184
  86      31   113   184
  87     182    97    47
  88     184   221   222
  89     113    57   220
  90     185   180    97
  91      84   153   150
  92      84    10   154
  93     154   155    84
  94     155   154    47
  95      96   154    10
  96      84   155    27
  97     147   153    85
  98     147    42   153
  99      85    27   156
 100      27    85   153
 101     174   156    27
 102     157   147    85
 103     153    84    27
 104     156    46    85
 105      27   155    95
 106     150    10    84
 107     155   180    95
 108      47    97   180
 109      17   181   180
 110     181    17   187
 111     185    17   180
 112      95   180   181
 113     174    95    48
 114     174    27    95
 115     174   175    92
 116     175   174    48
 117     175    48   186
 118       5   173    92
 119      95   181    48
 120      92   156   174
 121     181    98    48
 122      47   180   155
 123     182    47   154
 124     148    82   147
 125     185   187    17
 126     217    16   112
 127     156    92   173
 128     165     6   158
 129     164    88    29
 130     158    88   165
 131       6   159   158
 132     165    88    53
 133     208    53   164
 134     208   107    18
 135     107   208   164
 136     107   164   195
 137     207    18   107
 138      53    88   164
 139      88   158   161
 140     161    43    87
 141     161   158   149
 142     163    87    49
 143     148    87    43
 144      43    82   148
 145     161    87    29
 146     195    29   163
 147     195   164    29
 148     195   101    52
 149     101   195   163
 150     191   101   163
 151      52   101   194
 152      29    87   163
 153      52   107   195
 154     194   101    11
 155      88   161    29
 156     149    43   161
 157     207   107    52
 158      64   212   109
 159     207   109   212
 160      34   211   109
 161     212    18   207
 162      64   109   211
 163       4   246   125
 164     248   125   247
 165     211   125   246
 166     211   247   125
 167     125   248     4
 168     246    64   211
 169     109   207   209
 170      34   247   211
 171      34   209   108
 172     210   108   206
 173     194   108   209
 174     207    52   209
 175      34   108   210
 176     247    66   248
 177      66   247   126
 178     250   126   249
 179     126   247    34
 180     210   249   126
 181     126   250    66
 182      34   210   126
 183     206   108   194
 184      34   109   209
 185      52   194   209
 186      87   148   162
 187     162    14   157
 188     162    49    87
 189     157    94   162
 190      94   157    46
 191      14   147   157
 192     162    94   179
 193     191    11   101
 194     191    49   179
 195     191   100    11
 196     100   191   179
 197      28   100   179
 198     193    11   100
 199      49   162   179
 200     194    11   206
 201     179    94    28
 202     162   148    14
 203     176    28    94
 204     176    46   173
 205     173    93   176
 206       5    93   173
 207      46   156   173
 208     176    93   178
 209      28   192   100
 210     192    28   102
 211     178    50   102
 212     197   102   196
 213     102   197   192
 214     178   102    28
 215      28   176   178
 216     193   100   192
 217     177   178    93
 218     176    94    46
 219     157    85    46
 220      51   192   197
 221      65   249   210
 222      65   206   106
 223     205   106   202
 224     106   206    11
 225      11   193   106
 226      65   106   205
 227     249    20   250
 228      20   249   127
 229     252   127   251
 230     127   249    65
 231     251   127   205
 232     127   252    20
 233      65   205   127
 234     106   193   202
 235      65   210   206
 236     202    51   105
 237      51   202   193
 238      35   105   204
 239     105    35   202
 240      51   197   105
 241      35   251   205
