1016  3  0
   1       1   146   148
   2     146     1   149
   3     148   147    54
   4     147   148   146
   5     146   110   147
   6     149    55   150
   7     158   155   110
   8     110   146   150
   9     158   110   150
  10     150   146   149
  11     147   110   154
  12      90   153   151
  13     153   152    15
  14      90   152   153
  15     151    54   154
  16     154   155   156
  17     154    54   147
  18      90   156   169
  19     156    90   154
  20     168   169   156
  21      90   169   152
  22     156   155    30
  23     154    90   151
  24     110   155   154
  25     176   152   169
  26     150    55   158
  27     170   111   158
  28     111   170   171
  29     157    30   155
  30     157   158   111
  31     111   159   157
  32     170   158    55
  33     160   159   111
  34     160   171    16
  35     157   159   162
  36     161    56   159
  37     163    56   197
  38     160   111   171
  39     162   159    56
  40      30   164   168
  41     164    30   162
  42     169   168    45
  43     172   168   164
  44     164    91   172
  45     168   156    30
  46     163    91   164
  47     163   162    56
  48      91   198   167
  49     198    91   163
  50      10   165   167
  51     172    91   166
  52     198   163   197
  53     163   164   162
  54      30   157   162
  55     172    45   168
  56     161   159   160
  57     155   158   157
  58     167   166    91
  59      15   173   175
  60     173    15   176
  61     175   174    44
  62     174   175   173
  63     173    89   174
  64     176    45   177
  65     176    15   152
  66     182    89   185
  67      89   173   177
  68      89   177   185
  69     177   173   176
  70     169    45   176
  71     174    89   181
  72      44   178   180
  73      44   174   178
  74     180   179     6
  75      86   179   180
  76     180   178    86
  77     181   182   183
  78     178   174   181
  79      86   183   194
  80     183    86   181
  81     193   194   183
  82      86   194   179
  83     183   182    26
  84     181    86   178
  85      89   182   181
  86     255   179   194
  87     177    45   186
  88     186    83   185
  89      83   186   166
  90     184    26   182
  91     184   185    83
  92      83   190   184
  93     186   185   177
  94     165   190    83
  95     166   167   165
  96     190   195    42
  97     195   190   165
  98     165    10   195
  99     165    83   166
 100      45   172   186
 101     184   190   187
 102      26   189   193
 103     189    26   187
 104     194   193    43
 105     196   193   189
 106     189    82   196
 107     193   183    26
 108     187    42   188
 109     187    26   184
 110     249    82   192
 111      82   189   188
 112     188   192    82
 113     196    82   264
 114     191   188    42
 115     188   189   187
 116     190    42   187
 117     264    82   249
 118      42   195   231
 119     182   185   184
 120     172   166   186
 121     196    43   193
 122     167   198   208
 123      16   201   161
 124     201    16   199
 125     205   197    56
 126     205   161   201
 127     201   112   205
 128      16   161   160
 129     199    57   200
 130     207   204   112
 131     112   201   200
 132     207   112   200
 133     200   201   199
 134     205   112   203
 135     197   203    96
 136     203   197   205
 137     221   208    96
 138     208   198    96
 139      96   203   202
 140     208    10   167
 141     220   202    31
 142     202   221    96
 143     221   220    47
 144     220   221   202
 145      47   220   224
 146     208   221   225
 147      31   202   204
 148     202   203   204
 149     203   112   204
 150     225   221    47
 151     206   200    57
 152     198   197    96
 153     206   212   113
 154     212   206    57
 155     216   207   113
 156     113   207   206
 157     212   209   113
 158     206   207   200
 159     210   209   222
 160       7   209   212
 161     211   210    58
 162     210   211   209
 163     209     7   222
 164     209   211   113
 165     216   113   211
 166     215    31   213
 167      31   204   216
 168     224   215    97
 169     224   220   215
 170      31   216   213
 171     220    31   215
 172     213    58   214
 173     213   216   211
 174      97   214   218
 175      97   215   214
 176     250   218   214
 177     224    97   237
 178     214    58   250
 179     214   215   213
 180     211    58   213
 181      47   224   232
 182     210   223    58
 183     204   207   216
 184     218   217    97
 185      10   225   227
 186     225    10   208
 187      84   231   227
 188     231   195   227
 189     227   225   226
 190     231   191    42
 191     226   233    84
 192     233   226   232
 193     231    84   229
 194     230    84   233
 195     230   240    27
 196     226    84   227
 197      47   226   225
 198     229    84   230
 199     191    85   192
 200      85   191   229
 201     192   248   249
 202     248   192    85
 203      85   251   248
 204     192   188   191
 205     230   228   229
 206     228   230    27
 207     251   228   245
 208     251    85   228
 209     245   228    27
 210     251   245   243
 211      27   239   245
 212     228    85   229
 213     191   231   229
 214     304   248   251
 215     230   233   240
 216     227   195    10
 217     232   237    95
 218     226    47   232
 219      95   236   240
 220     234   236    95
 221      95   237   234
 222      95   240   233
 223     217    17   234
 224     219    17   217
 225     234   235   236
 226     235   234    17
 227      17   246   235
 228     217   234   237
 229     224   237   232
 230     236   235    48
 231     238   239    27
 232     240   236   238
 233     243   239    92
 234     243   245   239
 235     238   241   239
 236     240   238    27
 237     241    48   351
 238     241   238   236
 239      92   351   244
 240     351    92   241
 241     316   244     5
 242     243    92   242
 243      48   382   351
 244     241    92   239
 245      48   241   236
 246      46   251   243
 247     235   247    48
 248     233   232    95
 249      97   217   237
 250     248    14   249
 251     217   218   219
 252     161   205    56
 253     244   242    92
 254       6   252   254
 255       6   179   252
 256     254   253    53
 257      88   253   254
 258     254   252    88
 259     256    88   252
 260     256   255    43
 261     253    88   260
 262     268    88   256
 263     256   263   268
 264     256   252   255
 265     179   255   252
 266     260    88   268
 267      53   259   258
 268      53   253   259
 269     257    18   258
 270     258   259   257
 271     107   257   259
 272     107   260   265
 273     257   271   272
 274     271   257   107
 275      52   272   271
 276     257   272    18
 277     107   267   271
 278     107   259   260
 279     253   260   259
 280      18   272   281
 281     265   260   268
 282      43   261   263
 283      43   196   261
 284      29   265   268
 285     262    29   263
 286     263   261   262
 287      29   268   263
 288      87   262   261
 289     300    87   302
 290      29   262   270
 291     300   262    87
 292      87   264   312
 293      87   261   264
 294     196   264   261
 295     270   262   300
 296     265   266   267
 297     265    29   266
 298     267   276   271
 299     101   276   267
 300     267   266   101
 301     265   267   107
 302     269   101   266
 303     269   270    49
 304     101   273   275
 305     273   101   269
 306     275   273   274
 307     101   275   276
 308     269   309   273
 309     269   266   270
 310      29   270   266
 311      52   271   276
 312     273    11   274
 313     263   256    43
 314     255   194    43
 315     288   276   275
 316     280   281   109
 317     281   280    18
 318     277   109   278
 319     109   277   280
 320     281   299   109
 321     286   299   290
 322     299   281   272
 323     278   286   287
 324     278   109   286
 325     286    34   287
 326     286   109   299
 327     272    52   299
 328     277   278    64
 329      64   279   285
 330      64   278   279
 331     282     4   285
 332     285   279   282
