1024  3  0
   1       1   479   480
   2     479     1   478
   3     480   255    54
   4     255   480   479
   5     479   110   255
   6     478    55   361
   7     110   361   256
   8     361   110   478
   9     361   254   256
  10     478   110   479
  11     255   110   256
  12      54   360   447
  13     360    54   257
  14     447   448    15
  15     448   447   360
  16     360    90   448
  17     257   256   325
  18     257    54   255
  19      90   325   327
  20     325    90   257
  21     326   327   325
  22      90   327   448
  23     325   256    30
  24     257    90   360
  25     255   256   257
  26     448   327   444
  27      55   252   361
  28     253   252   111
  29     483   252    55
  30     254   253    30
  31     253   254   252
  32     252   483   482
  33     252   254   361
  34     482    16   481
  35      16   482   483
  36     253   111   364
  37     481   111   482
  38      16   485   481
  39     482   111   252
  40     364   111   481
  41      30   365   449
  42      30   253   365
  43     326   449    91
  44     449   326    30
  45     365   198   449
  46      30   326   325
  47     364    56   198
  48      56   364   481
  49      91   198   199
  50      91   449   198
  51     199   198    56
  52     171   326    91
  53      56   170   199
  54     198   365   364
  55     253   364   365
  56     327   326   171
  57     481   363    56
  58     254    30   256
  59     172    91   199
  60      15   445   446
  61     445    15   444
  62     446   231    44
  63     231   446   445
  64     445    89   231
  65     444    45   328
  66     444   327    45
  67      89   328   232
  68     328    89   444
  69     328   329   232
  70     444    89   445
  71     448   444    15
  72     231    89   232
  73      44   324   440
  74     324    44   233
  75     440   441     6
  76     441   440   324
  77     324    86   441
  78     233   232   235
  79     233    44   231
  80      86   235   234
  81     235    86   233
  82     236   234   235
  83      86   234   441
  84     235   232    26
  85     233    86   324
  86     231   232   233
  87     441   234   177
  88      45   197   328
  89     197   329   328
  90     197   171   173
  91     329   435    26
  92     435   329   197
  93     197    83   435
  94     197    45   171
  95     173   172   196
  96     172   173   171
  97      83   196   320
  98     196    83   173
  99     196   172    10
 100     173    83   197
 101     171    91   172
 102     435    83   320
 103      26   151   236
 104     151    26   149
 105     236   323   234
 106     323   236   151
 107     151    82   323
 108      26   236   235
 109     149   320   150
 110     149    26   435
 111      82   150   434
 112     150    82   149
 113     240   434   150
 114      82   434   323
 115     150   320    42
 116     149    82   151
 117     435   320   149
 118     323   434   433
 119     320   196   319
 120     329    26   232
 121     171    45   327
