358  3  0
   1      37    38   204
   2     204    38   209
   3      37   204   147
   4      35    36   205
   5     181   205   147
   6     147   205    36
   7      36    37   147
   8      35   205    34
   9     204    91   147
  10     209    39    40
  11     149   209    40
  12     204   107    91
  13     204   209   107
  14     107   183    91
  15     184   107   209
  16     107   184   183
  17     181   147    91
  18     183   128   165
  19     209    38    39
  20     165    91   183
  21      33    34   206
  22      34   205   206
  23      33   206   148
  24      32   207    31
  25     207    32   148
  26     207   148   182
  27     148    32    33
  28     206    92   148
  29     182   148    92
  30     206   108    92
  31     180   108   181
  32     206   205   108
  33     165   181    91
  34     126   181   165
  35      92   164   182
  36      92   180   164
  37     164   126    77
  38     126   164   180
  39     180   181   126
  40     127   182   164
  41     165    78   126
  42     180    92   108
  43     205   181   108
  44     109   207   182
  45      40    41   149
  46      42    43   211
  47     211    43    44
  48      42   211   208
  49     149   208    93
  50     149    41   208
  51     185    93   110
  52     110    93   208
  53     208   211   110
  54     149    93   184
  55     211   186   110
  56     208    41    42
  57     150    44    45
  58     210    45    46
  59     186   150    94
  60     186   211   150
  61      94   173   161
  62     210    94   150
  63     150    45   210
  64     186    94   161
  65     111    94   210
  66     150   211    44
  67     185   110   186
  68     184   166   128
  69     184    93   166
  70      79   128    80
  71      79   165   128
  72     164    77    76
  73      78   165    79
  74     126    78    77
  75     128   166    80
  76     128   183   184
  77     186   129   185
  78     129   186   161
  79     129   161    82
  80     129    81   166
  81      80   166    81
  82      83    82   161
  83      81   129    82
  84      83   161   115
  85     166   185   129
  86      93   185   166
  87     210    46   197
  88     209   149   184
  89      76   127   164
  90     207    30    31
  91     207   192    30
  92      30   192    29
  93      28    29   133
  94     133   158    28
  95     158   133    95
  96      29   192   133
  97      28   158    27
  98     192   156   133
  99     109   182   156
 100     192   207   109
 101      75   127    76
 102     157   127    75
 103      95   133   156
 104      95   156   157
 105     157   170    95
 106      74   170   157
 107     156   127   157
 108     158    95   112
 109     188   170   130
 110     156   192   109
 111     127   156   182
 112     188    95   170
 113     158   222    27
 114     158   112   222
 115     222   112   223
 116      27   222    26
 117      26   222    25
 118      24   223   159
 119     223    24    25
 120     222   223    25
 121     112   187   223
 122      96   187   130
 123     159   223   187
 124     188   130   187
 125     187    96   159
 126      23   159   134
 127      23    24   159
 128     194    22   134
 129     134    22    23
 130     134   159   193
 131     193   159    96
 132     187   112   188
 133      95   188   112
 134      74   157    75
 135      73    72   130
 136      73   130   170
 137     194   134   193
 138     162   106    96
 139     106   193    96
 140     195   106   162
 141     130    72   162
 142     120   193   106
 143     162    72    71
 144      73   170    74
 145      70    69   136
 146      71    70   195
 147     195   175   106
 148     175   195   136
 149     175   136    97
 150     136   195    70
 151      69   216   136
 152     153   136   216
 153     216    69    68
 154      71   195   162
 155     120   106   175
 156     194   120   224
 157     120   194   193
 158     160   224    97
 159     194   224    21
 160      21   224    20
 161      19   160    18
 162      19    20   224
 163     160    19   224
 164     224   120    97
 165      21    22   194
 166     135    97   153
 167      97   120   175
 168     217   105   153
 169     135   153   105
 170      18   135    17
 171      18   160   135
 172      17   218    16
 173     218    17   135
 174     135   105   218
 175     105   154   218
 176     135   160    97
 177     136   153    97
 178     217   153   216
 179      96   130   162
 180     197    47    48
 181     111   210   197
 182     197    48   137
 183     173   111   171
 184     173    94   111
 185     171   137    98
 186     137   171   111
 187     111   197   137
 188     173   171   115
 189      48    49   137
 190     197    46    47
 191     196    49    50
 192     121    50    51
 193      98   196   121
 194      98   137   196
 195      98   121   176
 196     121   196    50
 197      51   199   121
 198      98   176   171
 199     168   199   138
 200     196   137    49
 201     168   121   199
 202     171   142   115
 203     142   171   176
 204     142   176   116
 205     115   142    84
 206      84   142    85
 207      86   116   143
 208     116    86    85
 209     142   116    85
 210     176   168   116
 211      84    83   115
 212     143   177   117
 213     168    99   143
 214     143   117    87
 215     143    87    86
 216      88    87   117
 217     131    90    89
 218      89    88   144
 219     144    88   117
 220     143   116   168
 221     176   121   168
 222     199    51    52
 223     198   138    53
 224      52   138   199
 225      53   138    52
 226     138   198    99
 227     169   117   177
 228     177    99   122
 229     169   122   201
 230     122   169   177
 231      99   198   122
 232     169   144   117
 233     198    54   122
 234     138    99   168
 235      54    55   122
 236     122    55   201
 237     139   169   201
 238     139   201    56
 239      56    57   139
 240     201    55    56
 241     139    57   200
 242     198    53    54
 243     169   139   100
 244     169   100   144
 245     100   139   200
 246     100   200   189
 247     144   100   131
 248     167   131   101
 249     167    90   131
 250     213   101   189
 251     189   101   131
 252     131   100   189
 253     190   167   101
 254     189   200   123
 255     131    89   144
 256     123    58    59
 257      58   123   200
 258     123    59   213
 259     151   213    60
 260     151   101   213
 261      60     1   151
 262     213    59    60
 263     151     1   212
 264     213   189   123
 265     200    57    58
 266     190   101   151
 267     177   143    99
 268      90   167    61
 269      66    65   118
 270      67    66   145
 271     125   217   216
 272      68    67   125
 273     145   118   178
 274     125    67   145
 275      66   118   145
 276     179   125   145
 277      65   146   118
 278     119    63   163
 279      64    63   119
 280     178   220   124
 281     118   220   178
 282     124   220   103
 283     119   146    64
 284     146   220   118
 285     146   103   220
 286      63    62   163
 287      65    64   146
 288     102   145   178
 289     179   219   105
 290     217   125   179
 291      14   219   140
 292     105   219   154
 293      16   154    15
 294      16   218   154
 295      15   154   219
 296     219    14    15
 297     219   179   102
 298     105   217   179
 299     102   178   202
 300     102   179   145
 301     155   221   124
 302     202   124   221
 303     140    13    14
 304      13   140   202
 305     202    12    13
 306      12   202   221
 307     140   102   202
 308     221    11    12
 309     102   140   219
 310     202   178   124
 311     172   146   119
 312     216    68   125
 313     167   132    61
 314     132   167   190
 315     132   190   191
 316     132   163    62
 317     119   163   174
 318     174   163   104
 319     191   104   163
 320     215   104   191
 321     163   132   191
 322     114   174   104
 323     191   190   113
 324     119   174   172
 325     151   113   190
 326     151   212   113
 327     212     2     3
 328     113   212   215
 329     152   215     4
 330     152   104   215
 331       3     4   215
 332     215   212     3
 333     152     4     5
 334     215   191   113
 335       1     2   212
 336     214   104   152
 337     141   103   172
 338     103   146   172
 339     114   172   174
 340     203   141   172
 341     221    10    11
 342     221   155    10
 343     141     9   155
 344     155     9    10
 345     155   103   141
 346     203   172   114
 347     124   103   155
 348     214     5     6
 349     214   114   104
 350     214     6   203
 351     141     8     9
 352       8   141   203
 353       7     8   203
 354     203     6     7
 355     214   203   114
 356     152     5   214
 357      61   132    62
 358     161   173   115
# Generated by ./triangle -pneQ output.poly
