186  3  0
   1       1   113    64
   2     113     1    65
   3      64   113    33
   4      90    33   112
   5      33    89    64
   6      89    90    48
   7      90    89    33
   8      33    65   112
   9      33   113    65
  10      64    89    20
  11      47    20    88
  12       7    47    84
  13      26    88    86
  14      88    20    89
  15      83     7    84
  16      26    84    88
  17      86    88    48
  18      88    84    47
  19      89    48    88
  20      26    45    84
  21      48    90    11
  22      62    11    90
  23      62   112   111
  24      11    62    92
  25      11    86    48
  26      21    63   111
  27      32    49    92
  28      92    62   111
  29      32    92   111
  30     111   112    21
  31     112    65    21
  32      11    92    87
  33      46    85    26
  34      46    86    87
  35      85    46    78
  36      46    26    86
  37      87    49    27
  38      87    86    11
  39      15    78    40
  40      78    46    27
  41      79    78    27
  42      27    46    87
  43      92    49    87
  44      85    78    15
  45     111    63   110
  46      90   112    62
  47      85    45    26
  48      14    44    82
  49      83    44     7
  50      82    44    83
  51      25    82    83
  52      76    25    39
  53      14    82    43
  54      76    82    25
  55      25    45    77
  56      25    83    45
  57      83    84    45
  58      43    82    76
  59      42    81    24
  60       6    42    80
  61      24    80    42
  62      24    43    73
  63      80    41     6
  64      72    41    80
  65      80    24    72
  66      24    81    43
  67      81    14    43
  68      73    43    76
  69      39     9    76
  70      39    77    75
  71       9    39    68
  72      76     9    73
  73      75    68    39
  74      40    75    15
  75      34     9    68
  76      69    34    68
  77      68    75    23
  78      77    15    75
  79      45    85    77
  80       9    34    37
  81      72    71    13
  82      37    72    73
  83      72    13    41
  84      73    72    24
  85      37    67    71
  86      37    73     9
  87      71    36    13
  88      22    36    71
  89      22    71    67
  90      37    71    72
  91      34    67    37
  92      67    34    66
  93      39    25    77
  94      85    15    77
  95      27    49    91
  96      60   110   109
  97       8   110    63
  98     109   110     8
  99     110    60    32
 100      61    19   107
 101      60   109    31
 102     107   109    61
 103      31   107   106
 104      61   109     8
 105      31   109   107
 106      49    93    91
 107      32    60    93
 108      18    93   108
 109      91    93    18
 110     108    31    59
 111     108    93    60
 112     103    94    59
 113      59    94   108
 114      59    31   106
 115     108    94    18
 116      31   108    60
 117      18    94    50
 118     107    19    56
 119     110    32   111
 120      56   105    29
 121      56   106   107
 122      29   105    57
 123      98    56    29
 124      57     2   104
 125      29   104    99
 126      55   104     2
 127      57   104    29
 128      55    99   104
 129     106    98    10
 130      98   106    56
 131      10    98    51
 132     106    10    59
 133      99    16    96
 134      16    99    55
 135      10    51    54
 136      96    51    99
 137      16    52    96
 138      99    51    98
 139      98    29    99
 140      59    10   103
 141      56    19   105
 142      97    51    96
 143      23    40    74
 144      78    79    40
 145       4    40    79
 146      69    68    23
 147       4    74    40
 148      50    79    91
 149      38    23    74
 150       4    79    50
 151      91    79    27
 152      23    38    69
 153      67    66    22
 154      34    69    66
 155      66    69    12
 156      22    66    35
 157      35    70    22
 158       5    70    35
 159      35    66    12
 160      69    38    12
 161      22    70    36
 162      75    40    23
 163      94    30    50
 164      50    91    18
 165     102    30   103
 166      50    30    95
 167      96    28    97
 168      54   103    10
 169     102   103    54
 170      97   101    54
 171      52   100    28
 172      51    97    54
 173      52    28    96
 174      28   101    97
 175      30    58    95
 176      58    30   102
 177      17    58   102
 178     102   101    17
 179      28    53   101
 180     101   102    54
 181       3    53   100
 182     101    53    17
 183     100    53    28
 184      50    95     4
 185     103    30    94
 186      93    49    32
# Generated by ./triangle -pneQ output.poly
