64872  3  0
   1       1  8266  8268
   2    8266     1  8269
   3    8268  8266  8267
   4    8270  8267  8266
   5    8270  8269  2109
   6    8267  2106  8274
   7    2106  8267  8270
   8    8274  2106  8275
   9    8270  8266  8269
  10    8268  8267  2108
  11    2108  8271  8273
  12    2108  8267  8271
  13    2107  8272  8273
  14    8273  8271  2107
  15    8274  8276  2107
  16    8275  8276  8274
  17    8272  2107  8292
  18    8283  2107  8276
  19    8276  8282  8283
  20    8274  2107  8271
  21    8267  8274  8271
  22    8292  2107  8283
  23    2106  8270  8278
  24    2109  8280  8279
  25    2110  8278  8279
  26    8278  8270  8279
  27    8279  8280  2110
  28    8278  8275  2106
  29    8281  8319  2110
  30    8319  8281   549
  31    8278  2110  8277
  32    8287  2110  8319
  33    8286  8287  2118
  34    8281  2110  8280
  35    8277  2110  8287
  36    8275  8277   546
  37    8277  8275  8278
  38    8285  8282   546
  39    8282  8276   546
  40     546  8277  8286
  41     546  8276  8275
  42    8286  8284  8285
  43    8286  8277  8287
  44    8282  8285  8288
  45    2115  8285  8284
  46    8302  2115  8311
  47    8286  8285   546
  48    8286  2118  8284
  49    8283  8282  2114
  50    8287  8319  8317
  51    8270  2109  8279
  52    2115  8288  8285
  53    8290  8291  8289
  54    8293  2113  8290
  55    8290  2113  8291
  56    8291   548  8289
  57    8292  8309  8289
  58    8292  8283  8309
  59    8289  2111  8290
  60    2111  8289  8309
  61    8296  2111  8297
  62    8292  8289   548
  63     548  8272  8292
  64    8296  8290  2111
  65    8295  8293  8294
  66    8293  8295  2113
  67    8359   148  8294
  68    8294   148  8295
  69    8293  2112  8294
  70    8296  8298  2112
  71    8297  8298  8296
  72    2112  8362  8294
  73    8304  8362  2112
  74    2112  8298  8304
  75    8296  2112  8293
  76    8293  8290  8296
  77    8294  8362  8359
  78    2111  8309  8301
  79    8300  8301  8299
  80    8301  8297  2111
  81    8297  8300   547
  82    8300  8297  8301
  83    8301  2114  8299
  84    8301  8309  2114
  85    8288  8302  8299
  86    8302  8288  2115
  87    8299  2116  8300
  88    2116  8299  8302
  89    2116  8307  8306
  90    8288  8299  2114
  91    8283  2114  8309
  92    8300  2116  8306
  93    8303  8304  8298
  94    2132  8303  8310
  95    8362  8304  8378
  96    2132  8304  8303
  97    8303   547  8305
  98    8298   547  8303
  99    8305  8306  2123
 100    8305   547  8300
 101    8310  2123  8357
 102    2123  8310  8305
 103    2123  8306  8308
 104    8305  8310  8303
 105    8300  8306  8305
 106    8370  2132  8310
 107    8302  8312  2116
 108     547  8298  8297
 109    8282  8288  2114
 110    8304  2132  8378
 111    2115  8284  8338
 112     549  8313  8315
 113    2119  8317  8315
 114    8317  8319  8315
 115    8315  8313  8314
 116    8317  2118  8287
 117    8321  8314  8320
 118    2120  8314  8313
 119    8317  2119  8316
 120    8321  2119  8314
 121    8314  2120  8320
 122    8314  2119  8315
 123    8318  2119  8321
 124    2118  8316  8327
 125    2118  8317  8316
 126    2117  8338  8327
 127    8338  8284  8327
 128    8327  8316  8326
 129    8338  8311  2115
 130    8348  8326  8334
 131    8326  2117  8327
 132    8338  2117  8339
 133    8348  2117  8326
 134     550  8326  8318
 135    8326  8316  8318
 136    2119  8318  8316
 137    8348  8339  2117
 138    8318  8321  8325
 139    8319   549  8315
 140    2121  8320  8333
 141    8332  8320  2120
 142    8325  2121  8322
 143    8325  8321  2121
 144    8320  8332  8333
 145    8325   550  8318
 146    8323  8333  8356
 147     149  8333  8332
 148    2126  8322  8324
 149    8322  2121  8323
 150    8324  8322  8323
 151    8323  2121  8333
 152    8325  8322  8328
 153     550  8328  8334
 154    8328   550  8325
 155    8334  2125  8348
 156    8329  2125  8334
 157    8334  8328  8329
 158     550  8334  8326
 159    8329  2126  8330
 160    2126  8329  8328
 161    8354  8331  2127
 162    8330  8331  8329
 163    8330  2126  8460
 164    8329  8331  2125
 165    8328  8322  2126
 166    2125  8331  8346
 167    8356  8333   149
 168    8321  8320  2121
 169    8345  8348  2125
 170    8311   146  8312
 171     146  8311  8339
 172    8312  8335  8307
 173    8335  8312   146
 174     146  8336  8335
 175    8312  8302  8311
 176    8339  8344  8336
 177    8339  8348  8344
 178    8337  8335  8336
 179    2124  8337  8336
 180    8337  8353  8343
 181    8336   146  8339
 182    8311  8338  8339
 183    8335  8337  2122
 184    8340  2123  8308
 185    8308  8307  2122
 186    8358  8357  8340
 187    8357  2123  8340
 188    8308  8341  8340
 189    8306  8307  8308
 190    2122  8343  8341
 191    2122  8307  8335
 192     554  8340  8341
 193    8342   554  8341
 194    8341  8343  8342
 195    8341  8308  2122
 196    8337  8343  2122
 197     554  8358  8340
 198    2124  8336  8344
 199    2116  8312  8307
 200    2124  8345  8347
 201    8345  2124  8344
 202    8353  8347  8352
 203    8347  8353  2124
 204    8345  8346  8347
 205    2128  8343  8353
 206    8346  8354   563
 207    8344  8348  8345
 208    8352   563  8451
 209    8352  8347   563
 210     563  8462  8451
 211     563  8347  8346
 212    8346  8345  2125
 213    8353  8352  2128
 214    8342  2128  8349
 215    8342  8343  2128
 216    2140  8355  8349
 217    8349  8355  8342
 218    2128  8350  8349
 219    8342  8355   554
 220    8350  8451  2150
 221    8350  2128  8352
 222    8417  8351  8481
 223    2150  8351  8350
 224    2150  8451  8480
 225    8350  8351  8349
 226    8352  8451  8350
 227    2140  8349  8351
 228    8354  8462   563
 229    8353  8337  2124
 230    8331  8354  8346
 231    8370  8310  8357
 232    2127  8331  8330
 233    8327  8284  2118
 234    8407   554  8355
 235    8361  8359  8360
 236    8359  8361   148
 237    2131  8360  8365
 238    8360  2131  8361
 239    8359  2129  8360
 240    8366  2129  8368
 241    2129  8359  8362
 242    8365  8366  2130
 243    8365  8360  8366
 244    8366  8367  2130
 245    8366  8360  2129
 246    8370  8369  2132
 247    2131  8365  8364
 248    8364  8363   553
 249    8364  8365  8363
 250    8373  8384   553
 251     553  8363  8373
 252    8372  8373  8363
 253    8374  8372  2130
 254    8384  8373  8383
 255    2135  8373  8372
 256    2135  8372  8379
 257    8372  8363  2130
 258    8365  2130  8363
 259    2135  8383  8373
 260    2129  8378  8368
 261    8368  8369   551
 262    8368  8378  8369
 263    8375  8367   551
 264     551  8367  8368
 265    8369  8371   551
 266    8367  8374  2130
 267    8370  2148  8371
 268    8370  8357  2148
 269    8376   551  8371
 270    8406  8376  8371
 271    8376  2138  8377
 272    8371  8369  8370
 273    2132  8369  8378
 274    8375   551  8376
 275    8374  8375  2136
 276    8375  8374  8367
 277    8379  2136  8399
 278    2136  8379  8374
 279    8375  8377  2136
 280    8379  8372  8374
 281    8402  8399  2136
