53589  3  0
   1    6982   144  6983
   2    6983   144  6985
   3    6982  6983  6984
   4    6985  6994  6989
   5    6986  6983  6985
   6    6994  6985   144
   7    1825  6983  6986
   8    7012  7011   494
   9    6988  7012  1824
  10    6984  1825  6987
  11    1825  6984  6983
  12    7011  7012  6988
  13    6987  6988  6984
  14    1825  6995  6987
  15    6984  6988  1824
  16    1824  6982  6984
  17    6987  1823  6988
  18    6989  6994  1835
  19    1835  6990  6989
  20    6990  1835  7015
  21    6990  7015  7016
  22    6991  6989  6990
  23    7016   510  7017
  24    7016  1826  6990
  25     510  7016  7015
  26    1826  6991  6990
  27    1825  6992  6995
  28    6992  1825  6986
  29    6992  6986  6993
  30    6996  6995  6992
  31    6993  1832  7019
  32    6991  1832  6989
  33    1829  6992  6993
  34    7054  1829  6993
  35    6991  7019  1832
  36    6993  6986  1832
  37    6985  1832  6986
  38    6996  6992  1829
  39    7017   510  7056
  40    1832  6985  6989
  41    7003  6987  6995
  42    1822  7001  7000
  43    7000  7001  7002
  44    6997  1822  7000
  45    1820  7002  7008
  46    7002  7001   494
  47    7014  1820  7007
  48    7002  1820  7000
  49     494  7011  7002
  50    7006  7000  1820
  51    6998  7072    37
  52    6998    37  6999
  53    6998  6997  1821
  54    7006  6997  7000
  55    7066  7072  6998
  56    6997  7006  1821
  57    7006  1820  7014
  58    6997  6998  6999
  59    6999  1822  6997
  60    7006  7014  7095
  61    7008  7002  7011
  62    7008  1823  7005
  63    1823  7008  7011
  64    7005  1823  7003
  65    7008  7005  7007
  66    6995   495  7003
  67    7003  1823  6987
  68    7004  7003   495
  69    7037   495  6996
  70    7037  6996  7039
  71    7005  7003  7004
  72    7011  6988  1823
  73    7009   495  7037
  74    7007  1836  7013
  75    7007  7005  1836
  76    7057  7013  1836
  77    7013  7014  7007
  78    7004  7009  7010
  79    7009  7004   495
  80    7057  1836  7010
  81    1844  7010  7009
  82    1844  7009  7038
  83    7004  7010  1836
  84    7005  7004  1836
  85    1844  7058  7010
  86    7009  7037  7038
  87    7007  1820  7008
  88     495  6995  6996
  89    7013   496  7014
  90    6996  1829  7039
  91    7021  1856  7022
  92    7022  1856  7035
  93    7021  7017  7056
  94    7035  7026  7022
  95    7026  7035    38
  96    7026    38  7027
  97    7021  7022  7023
  98    1857  7023  7022
  99    7016  7018  1826
