98298  3  0
   1       1  12550  12549
   2    12550     1  12564
   3    12549  12550  12546
   4    12552  3204  12548
   5    12546  3204  12549
   6    12548  3204  12546
   7    12550  3202  12546
   8    12564  3205  12561
   9    12563  3202  12561
  10    12561  3202  12550
  11    12546  12547  12548
  12    12546  3202  12547
  13    12563  12547  3202
  14    12552  12548  12551
  15    3203  12547  12573
  16    12550  12564  12561
  17    3203  12548  12547
  18     836  12551  12553
  19    12551   836  12552
  20    12554  12553  3208
  21     836  12553  12555
  22    12555  12554  3212
  23    12554  12555  12553
  24    12558  3212  12554
  25    12553  12551  12556
  26    12556  3203  12559
  27    3203  12556  12551
  28    12573  12559  3203
  29    12556  12559  12560
  30    3208  12560  12572
  31    12560  3208  12556
  32    12572  12560  12571
  33    3208  12572  12554
  34    12559  3207  12560
  35    12556  3208  12553
  36    12551  12548  3203
  37    12572  12558  12554
  38    12562  12561  3205
  39    3206  12562  12566
  40    12565  12562  3205
  41    12566  12562  12565
  42    12562  3206  12563
  43    12563  12567  12568
  44    12567  12563  3206
  45     834  12568  12567
  46    12568  12573  12547
  47    3206  12614  12567
  48    12562  12563  12561
  49    12566   837  12618
  50     837  12566  12565
  51    12618   837  12616
  52    12566  12618  12622
  53    12614  12615  12567
  54    3206  12622  12614
  55    12620  12614  12622
  56    3225  12623  12615
  57    3225  12615  12614
  58    3206  12566  12622
  59     834  12567  12615
  60    12573   834  12574
  61     834  12573  12568
  62    12578  3207  12574
  63    12574  3207  12559
  64    12571  3207  12569
  65    12571  12560  3207
  66    12578  12569  3207
  67    12570  12571  12569
  68    12574   834  12577
  69    12559  12573  12574
  70    12577  12623  3217
  71    12577   834  12615
  72    12627  12631  3217
  73    12577  3217  12578
  74    12631  3218  12569
  75    12631  12578  3217
  76    12650  12652  3218
  77    12631  12569  12578
  78    12650  3218  12631
  79    12577  12578  12574
  80    12615  12623  12577
  81    12572  12571   835
  82    3221  12622  12618
  83    12568  12547  12563
  84    12569  3218  12570
  85    12583  3209  12580
