2048  3  0
   1     731     1   984
   2     984   732   731
   3     732   984   214
   4     731   732   733
   5     983   213   733
   6     733   918   983
   7     918   733   110
   8     213   731   733
   9     983   918   919
  10     732   730   733
  11     214   730   732
  12     730   214   728
  13     730   728   729
  14     986   728    55
  15     110   400   918
  16     400   110   522
  17     729   986   522
  18     986   729   728
  19     401   522   215
  20     729   522   110
  21     110   730   729
  22     400   522   401
  23      55   987   986
  24     730   110   733
  25     918   400   170
  26     650    54   919
  27     919   651   650
  28     651   919   170
  29     983   919    54
  30     650   651   652
  31     917   169   652
  32     652   913   917
  33     913   652    90
  34     169   650   652
  35     917   913   914
  36     651   521   652
  37     170   521   651
  38     521   170   402
  39     401   402   170
  40     399   402   401
  41     919   918   170
  42     521   402   520
  43      90   653   913
  44     653    90   474
  45     520   474    90
  46     916   474   520
  47     168   476   474
  48     474   476   653
  49      90   521   520
  50     653   476   645
  51     520   402    30
  52     521    90   652
  53     401   170   400
  54     913   653   167
  55     215   522   986
  56     985   215   986
  57     985   987   216
  58     216   738   985
  59     738   216   736
  60     985   738   397
  61     215   399   401
  62     399   215   397
  63     397   398   399
  64     111   398   397
  65     215   985   397
  66     399   398   920
  67     397   738   111
  68     985   986   987
  69     737   111   738
  70     737   736    16
  71      16   989   737
  72     989    16   990
  73     737   989   217
  74     111   525   398
  75     525   111   735
  76     735   217   526
  77     217   735   737
  78     526   217   734
  79     735   526   525
  80     111   737   735
  81     525   526   527
  82     989   988   217
  83     737   738   736
  84     398   525   171
  85      30   916   520
  86     916    30   920
  87     916   920   915
  88     920   398   171
  89     399   920    30
  90     915   920   171
  91     168   475   476
  92     475   168   656
  93     915   656   168
  94     655   656   915
  95     168   916   915
  96     657   475   656
  97     915   171   655
  98     916   168   474
  99     654   655   527
 100     527   655   171
 101     734    56   527
 102      56   734   743
 103     171   525   527
 104     922   527    56
 105      91   654   342
 106     654    91   655
 107     342   922   172
 108     922   342   654
 109     172   922   921
 110     316    91   342
 111     654   527   922
 112     315   656    91
 113      56   939   922
 114     655    91   656
 115     527   526   734
 116     343   342   172
 117     217   742   734
 118     399    30   402
 119     476   475    45
 120     647    15   914
 121     914   648   647
 122     648   914   167
 123     917   914    15
 124     647   648   649
 125     912   166   649
 126     649   904   912
 127     904   649    89
 128     166   647   649
 129     912   904   905
 130     648   646   649
 131     167   646   648
 132     646   167   645
 133     646   645   478
 134     645   476    45
 135     653   645   167
 136     479   645    45
 137      89   375   904
 138     375    89   477
 139     478   479   477
 140     479   478   645
 141     376   477   151
 142     478   477    89
 143      89   646   478
 144     375   477   376
 145      45   893   479
 146     646    89   649
 147     913   167   914
 148     904   375   160
 149     633    44   905
 150     905   634   633
 151     634   905   160
 152     912   905    44
 153     633   634   635
 154     903   159   635
 155     635   636   903
 156     636   635    86
 157     159   633   635
 158     903   636   321
 159     634   473   635
 160     160   473   634
 161     473   160   377
 162     376   377   160
 163     892   377   376
 164     905   904   160
 165     473   377   379
 166      86   637   636
 167     637    86   378
 168     379   378    86
 169     380   378   379
 170     149   888   378
 171     378   888   637
 172      86   473   379
 173     637   888   902
 174     379   377    26
 175     473    86   635
 176     376   160   375
 177     636   637   158
 178     151   477   479
 179     621   479   893
 180     893   657   315
 181     622   621   341
 182     893   152   621
 183     657   656   315
 184     621   151   479
 185     151   892   376
 186     892   151   622
 187     622   883   892
 188      83   883   622
 189     151   621   622
 190     892   883   884
 191     315   152   893
 192     893    45   657
 193     152   316   317
 194     316   152   315
 195     340   317    10
 196     343   317   316
 197     316   342   343
 198     152   317   340
 199     341    83   622
 200      83   341   340
 201      83   465   623
 202     465    83   340
 203     891   465   340
 204     623   465   467
 205     341   152   340
 206      83   623   883
 207     465   150   467
 208     152   341   621
 209     315    91   316
 210     883   623   146
 211      26   380   379
 212     380    26   884
 213     884   471   380
 214     471   884   146
 215     892   884    26
 216     380   471   472
 217     149   889   888
 218     889   149   472
 219     472   617   889
 220     617   472    82
 221     149   380   472
 222     889   617   616
 223     471   295   472
 224     380   149   378
 225     146   295   471
 226     295   146   293
 227     467   293   146
 228     466   293   467
 229     884   883   146
 230     295   293   294
 231      82   618   617
 232     618    82   620
 233     294   620    82
 234     885   620   294
 235     147   619   620
 236     620   619   618
 237      82   295   294
 238     618   619   887
 239     294   293    42
 240     295    82   472
 241     467   146   623
 242     617   618   148
 243     317   343    10
 244     892    26   377
 245     475   657    45
 246     888   889    43
 247     172   673   343
 248     742   217   988
 249     988   990   218
 250     218   741   988
 251     741   218   739
 252     988   741   112
 253     939    56   743
 254     743   742   112
 255     524   743   112
 256     743   524   939
 257     742   988   112
 258     921   922   939
 259     741   740   112
 260     743   734   742
 261     528   112   740
 262     740   739    57
 263      57   992   740
 264     992    57   993
 265     740   992   219
 266     524   528   523
 267     524   112   528
 268     523   219   407
 269     219   523   528
 270     407   219   405
 271     312   524   523
 272     528   740   219
 273     939   524   183
 274     992   991   219
 275     740   741   739
 276      31   523   407
 277     674   343   673
 278     673   921   314
 279     183   314   921
 280     314   183   312
 281     921   939   183
 282     673   314    96
 283      10   674   896
 284      10   343   674
 285     675   674    96
 286     674   675   896
 287     674   673    96
 288      10   896   890
 289     314   313    96
 290     172   921   673
 291     486    96   313
 292     313   312    31
 293      31   938   313
 294     938    31   940
 295     312   523    31
 296     313   938   486
 297     675   154   896
 298     154   675   488
 299     486   488   675
 300     182   488   486
 301     487   624   488
 302     488   624   154
 303      96   486   675
 304     154   624   625
 305     182   486   938
 306     313   314   312
 307     183   524   312
 308     896   154   626
 309     407   406    31
 310     988   989   990
 311     405   219   991
 312     991   993   220
 313     220   748   991
 314     748   220   746
 315     991   748   113
 316     940    31   406
 317     406   405   113
 318     532   406   113
 319     406   532   940
 320     405   991   113
 321     937   938   940
 322     748   747   113
 323     406   407   405
 324     745   113   747
 325     747   746     7
 326       7   995   747
 327     995     7   998
 328     747   995   221
 329     532   745   533
 330     532   113   745
 331     533   221   744
 332     221   533   745
 333     744   221   752
 334     534   532   533
 335     745   747   221
 336     940   532   184
