256  3  0
   1       1   110    54
   2     110     1    55
   3      54    90    15
   4      90    54   110
   5     110    30    90
   6     111    30   110
   7      56   111    16
   8      30    56    91
   9      56    30   111
  10      10    83    91
  11      90    30    45
  12     111    55    16
  13     111   110    55
  14      45    30    91
  15      15    89    44
  16      89    15    45
  17      44    86     6
  18      86    44    89
  19      89    26    86
  20      83    26    89
  21      83    45    91
  22      26    42    82
  23      42    26    83
  24      82    42    85
  25      86    26    43
  26      42    83    10
  27      83    89    45
  28      15    90    45
  29      43    26    82
  30      91    56    96
  31      16    57   112
  32      31    96   112
  33      96    56   112
  34     112    57   113
  35      96    10    91
  36     113     7    58
  37       7   113    57
  38      31    58    97
  39      58    31   113
  40      17    97   115
  41      96    31    47
  42       7   114    58
  43     113    31   112
  44      47    31    97
  45      10    47    84
  46      47    10    96
  47      27    85    84
  48      85    42    84
  49      84    47    95
  50      84    42    10
  51      95    17    48
  52      95    47    97
  53      95    92    27
  54      92    95    48
  55       5    46    92
  56      27    92    85
  57      17    98    48
  58      95    27    84
  59      97    17    95
  60      82    85    14
  61      97    58   115
  62      56    16   112
  63      46    85    92
  64       6    88    53
  65      88     6    43
  66     107    18    53
  67      53    88   107
  68      43    87    29
  69      43    82    87
  70     107    29   101
  71     107    88    29
  72      49   101    29
  73      18   107    52
  74     101    11   108
  75      29    88    43
  76       6    86    43
  77      52   107   101
  78      64   109   125
  79      64    18   109
  80       4   125    66
  81     125     4    64
  82     109    34   125
  83      52   108    34
  84     108    52   101
  85     125   126    66
  86     125    34   126
  87      65   126    34
  88      66   126    20
  89      34   108    65
  90      34   109    52
  91      18    52   109
  92      49    29    87
  93      94    49    87
  94      94    14    46
  95     106   108    11
  96     100    11    49
  97      49    94   100
  98      94    87    14
  99      93    28    94
 100       5    93    46
 101     100    28   102
 102     100    94    28
 103     102    28    93
 104      11   100    51
 105     102    19   105
 106      94    46    93
 107      14    85    46
 108      51   100   102
 109      65   106   127
 110      65   108   106
 111      20   127    68
 112     127    20    65
 113     106    35   127
 114      65    20   126
 115      51   105    35
 116     105    51   102
 117     127   128    68
 118     127    35   128
 119      67   128    35
 120      68   128     9
 121      35   105    67
 122      35   106    51
 123     106    11    51
 124      50   102    93
 125      11   101    49
 126      82    14    87
 127       5    92    48
 128      32   114   118
 129      60   114     7
 130     115    32    59
 131     115    58    32
 132     114    60   118
 133      98    17   115
 134     118    21    61
 135      21   118    60
 136     116    59    32
 137     116   118    61
 138      12   116   120
 139      59   116    12
 140      21   119    61
 141     116    32   118
 142     115    59    98
 143      63    99   121
 144      99     5    48
 145       5    63   103
 146      63     5    99
 147      99    98    33
 148      48    98    99
 149     121   117    62
 150     117    98    59
 151     121    23    63
 152     121    33   117
 153     123    23   121
 154     121    99    33
 155      12    62   117
 156     117    33    98
 157      59    12   117
 158      63    23   124
 159     120   116    61
 160      58   114    32
 161      38   119   138
 162      73   119    21
 163     120    38    75
 164     120    61    38
 165     119    73   138
 166     122    12   120
 167     138     2    74
 168       2   138    73
 169      22    75   139
 170      75    38   139
 171      74   139   138
 172      22   139    74
 173     139    38   138
 174     120    75   122
 175      62   122    39
 176      62    12   122
 177     123    39    77
 178      39   123    62
 179     122   140    39
 180      62   123   121
 181     140    22    76
 182     140   122    75
 183     141    77    39
 184     141   140    76
 185     141    76     8
 186      77   141     8
 187     141    39   140
 188      75    22   140
 189      23   123   133
 190      61   119    38
 191     133   123    77
 192      50   103   104
 193     103    50     5
 194     129    19   104
 195     104    19    50
 196     103    36   104
 197      50    19   102
 198      36   124   131
 199     124    36   103
 200      69   131    13
 201      69   104   131
 202      70    13   131
 203      69    13   132
 204     131   124    70
 205     131   104    36
 206      63   124   103
 207     129   104    69
 208     130    67    37
 209      67   105   129
 210       9   130    72
 211     130     9    67
 212      67   129    37
 213      67     9   128
 214      37   132   135
 215      37   129    69
 216      72   135    25
 217      72   130   135
 218      71    25   135
 219      71   135   132
 220     135   130    37
 221      69   132    37
 222     132    13   136
 223     129   105    19
 224     133    40    70
 225     133    77    40
 226     134   136    13
 227     134    70    40
 228      40   143   134
 229     133    70   124
 230     142     8    78
 231      40    77   142
 232     143    78    24
 233      78   143   142
 234     134   143    79
 235     142   143    40
 236      23   133   124
 237      79   143    24
 238     136    41    71
 239      41   136    79
 240     137    81    25
 241     137    71    41
 242     145    81   137
 243     137    25    71
 244     137    41   145
 245      71   132   136
 246     144   145    41
 247      79    24   144
 248     145    80     3
 249      80   145   144
 250     145     3    81
 251      24    80   144
 252     144    41    79
 253     136   134    79
 254      13    70   134
 255       8   142    77
 256       5    50    93
# Generated by ./triangle -pneQ output.poly
