384  3  0
   1       1   113   224
   2     113     1   225
   3     224   113   172
   4     171    64    89
   5     172    89    64
   6      89   172    33
   7      64   224   172
   8     169   171    89
   9     113   222   172
  10     225    65   222
  11     222    65   112
  12      33   172   222
  13     170    33    90
  14     170    89    33
  15     165    90   174
  16      33   173    90
  17      33   222   112
  18     170    90   165
  19      65   223   112
  20     222   113   225
  21     169    89   170
  22     168    20    88
  23     169    20   171
  24     161    47   168
  25     160    47    84
  26      84   158   160
  27     159   158    84
  28      84    47   161
  29     160   158     7
  30     169    88    20
  31     164    88    48
  32      48    88   169
  33      48   169   170
  34      86   164    48
  35      26    84   161
  36      84    26   159
  37     164    26   161
  38     162    26   164
  39     161    88   164
  40      85   159    26
  41     165    86    48
  42      88   161   168
  43     170   165    48
  44     143   158   159
  45     173    33   112
  46     223    21   220
  47      62   220   111
  48     220   173   112
  49     174    11   165
  50     174   173    62
  51      92   174    62
  52     174    92    11
  53     173   220    62
  54     165    11    86
  55     220    21   111
  56     174    90   173
  57     111   221   218
  58     221   111    21
  59     218   221    63
  60     111   218   178
  61      92   166    11
  62     166    92   177
  63     178   177    92
  64      32   177   178
  65      62   178    92
  66     167   166    49
  67      49   166   177
  68     178    62   111
  69      11   166    87
  70     162    86   163
  71      86   162   164
  72      86    11   163
  73     162   163    46
  74     159    85    45
  75     144    85   146
  76      46   146    85
  77      78   146    46
  78      85   162    46
  79      15   144   146
  80      46   163   147
  81     162    85    26
  82      87   167   147
  83     167    87   166
  84     147   167    27
  85     147    78    46
  86     140   146    78
  87     140    78   145
  88      40   145   138
  89      27   145    78
  90      78   147    27
  91     140   145    40
  92      27   167    91
  93     163    87   147
  94      11    87   163
  95      15   146   140
  96      32   178   218
  97     112   223   220
  98     144    45    85
  99     158   157     7
 100     158    83   157
 101     157    83    44
 102     155    44   156
 103      14   154   153
 104      82   154    14
 105      14   155    82
 106     156    44    83
 107      25   143    77
 108      83   158   143
 109     142    25   141
 110      25   156    83
 111     156    82   155
 112      82   156   142
 113      43   135   134
 114     142    43    82
 115     156    25   142
 116      82    43   154
 117      76    43   142
 118      25    83   143
 119     159    45   143
 120     154    43   134
 121     153    81    42
 122     153   154    81
 123      42    81   152
 124       6   151    80
 125      80   152   133
 126     152    80   151
 127     151    42   152
 128       6    80   150
